ISBN-16,Title,Author,Co-authors,Year,Fiction Flag,Genre,Subgenre,Paperback Flag,Price
978-555-0-32177-211-9,Fifth Wheel,Ivana Mravinskaya,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-212-6,Restraining Order,Zima al Hambra,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-213-3,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-214-0,I'll Raise You Twenty,Paula Straiton,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-215-7,Unbalanced Load,Julia Tao,,2019,Fiction,Thriller,Heist,Paperback,$18.99
978-555-0-32177-216-4,Love in the Cloud,Kirsten McGullenwallengullen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-217-1,The Typist,Lala Morgenstern,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-218-8,A Little Boy's Sled,Maria Knoblauch,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-219-5,Star Trek: War Is Good for Business,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-220-1,A Telegram for Krzysztof,Nuria Grzsza,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-221-8,Light from a Forgotten Star,Olga Walker,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-222-5,Encaustic,Pliska Miro,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-223-2,Triple Cross,Qeborah Vaughan,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-224-9,Tiles and Cash,Risa Milliotti,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-225-6,The Mathematician and the Marble,Slasa Thompson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-226-3,Twenty Years Ago,Uwe Schmidt,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-227-0,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-228-7,Opus 127,Tiana Reyes-Blenderson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-229-4,Quick Notes: Shakespeare's Italian Plays,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-230-0,Foraging Through the Forest,Violetta Summers,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-231-7,A Diamond Under the Sofa Cushions,Wanda Polska,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-232-4,Running on Empty,Xena Bullworth-Campanella,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-233-1,The Spiral Staircase in the Leaning Tower,Yana Rostropova,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-234-8,The High Ground,Zaara Pratap,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-235-5,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-236-2,Smoking!,Alicia Montes,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-237-9,Hemlock,Bernardo Gerhardt,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-238-6,Gray Ops,Lucia Rollos,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-239-3,Star Trek: Peace Is Good for Business,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-240-9,Star Trek: Twenty Four Earth Hours to Doomsday,William Gold,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-241-6,The Debt Collector,Bianka Wolpowna,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-242-3,Where in the World?,Clara Thomas,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-243-0,Heroes of the Mine,Adaeza Igbo,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-244-7,Operation: Trinity,Ikechukwu Oleyowololo,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-245-4,Ghosts of the Future,Obinna Phillips,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-246-1,Checkmate in Five Moves,N'namdi Ebunolowa,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-247-8,London Holiday,Harry Harrison,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-248-5,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-249-2,Travel Diary: Ukraine,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-250-8,Force Recon: Mission to Crimea,Oscar Martinez,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-251-5,The Guardian,Poulette de Vries,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-252-2,Medic of the Front Lines,Qadar Hamad,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-253-9,Quick Notes: Alan Lightman,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-254-6,Encounters,Rosalita Viñas,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-255-3,Herding Cats,Waltera McThompsongilly,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-256-0,Ghost Ship,Xavier Roman,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-257-7,The Court-Martial of Ensign Williams,Yesenia Booker,,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-258-4,Travel Diary: Kazakhstan,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-259-1,Kitty Drive to St. Louis on Mississippi,Waltera McThompsongilly,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-260-7,"Yusra's Magic, Part I: Awakening",Zainab Hsien,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-261-4,"Yusra's Magic, Part II: Destiny",Zainab Hsien,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-262-1,A Matter of Time: The Java Time Package,Alonso del Arte,,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-263-8,Overseas Deployment Ribbon: Call of Duty,Alma Czerna,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-264-5,Last Minute Touchdown,Billiam Postopoli,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-265-2,Guns and Knives,Chandler Ross,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-266-9,The Sprig of Chicago,Diana McWoolgoolgy,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-267-6,_TITLE_,Emilio Spears,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-268-3,Star Trek: Second Contact,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-269-0,_TITLE_,Selma Severinsen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-270-6,With the Championship on the Line,Tatiana Volkmann,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-271-3,The Pole Vaulting Diaries,Ursula St. Frank,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-272-0,Travel Diary: Romania,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-273-7,Two If By Sea,Viviana Soon,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-274-4,Break a Leg,Fauna Laquandisha Jones,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-275-1,Vanished,Golda Racorzkrzsza,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-276-8,Star Trek: The Lieutenants of Command,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-277-5,Against All Enemies,Hillary Yee,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-278-2,Impact,Illiana Ghemor,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-279-9,Travel Diary: Greece,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-280-5,Defenseless,Joanne Keller,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-281-2,Someone to Watch Over Lee Anne,Kiv Du Yee,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-282-9,Father's Day,Lovepreet Kaur,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-283-6,Quick Notes: Ursula K. LeGuin,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-284-3,Above and Beyond,Marlbir Singh,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-285-0,Chains of Command,Osiris Washington,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-286-7,Travel Diary: Puerto Rico,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-287-4,The Stalker,Paul Varjoon,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-288-1,"Star Trek: Another Day, Another Cardassian Lek",Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-289-8,Tigers on the Loose,Quentisetta Rollins,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-290-4,Between Two Worlds,Stacey Qadar,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-291-1,CIA: Tender Mercies,Tom Bull,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-292-8,Death Watch,Umbert Strom,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-293-5,Quick Notes: English Translations of Greek Classics,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-294-2,Impostor,Vana Too,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-295-9,Jimmy's Returns,Wanda Shjro,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-296-6,Clipped Wings,Xanthos Phillips,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-297-3,Wedding Bell Blues,Yara McSam,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-298-0,Born in the USSR,Zelda Washington,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-299-7,Travel Diary: Pakistan,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-300-0,To Russia with Love,Alma Soughgren,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-301-7,Gypsy Eyes,Brenda Michael Wooster,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-302-4,Murder at the Embassy,Cipriano Dillings,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-303-1,Innocence,Daria Wallace,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-304-8,Star Trek: Julian Bashir: Silverfinger,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-305-5,No Martin Baker,Earla O'Donnell,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-306-2,Act of Terror,Finn Freeman,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-307-9,Travel Diary: Thailand,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-308-6,Angels' Thirty,Grace Chen,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-309-3,The Black Jet,Henry Okungbanwe,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-310-9,Star Trek: Julian Bashir: Thunder Square,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-311-6,War Stories,Ilona Zdrowa,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-312-3,Web of Lies,Jill MacWoolgoolga,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-313-0,Where the Rivers Run,Kira Jones,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-314-7,"Run Silent, Run Deep",Laana Suomi,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-315-4,Travel Diary: Singapore,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-316-1,Mob Justice,Mara O'Leary,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-317-8,Quick Notes: Ernest Hemingway,Songlian Wu,,2020,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-318-5,Jingle Bells,Nina Owolofoyeku,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-319-2,The Orphan,Olga Stonestreet,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-320-8,Check Ride,Pia Longfellow,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-321-5,Shakedown Cruise,Quigley Mercator,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-322-2,The Adversaries,Robbie Plank,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-323-9,Second Sight,Sharon Moreland,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-324-6,Star Trek: Julian Bashir: At Her Majesty's Pleasure,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-325-3,Wilderness of Mirrors,Trudy Zhang,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-326-0,Soul Searching,Ursa Cellentani,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-327-7,"Oh Yeah, Baby",Viola Reese Davies,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-328-4,Goodbyes,Winter Johnson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-329-1,King of the Hill,Xavier Samuelson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-330-7,Rules of Engagement,Yolanda Nightwinder,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-331-4,True Calling,Zora McQuowm,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-332-1,Front and Center,Zora McQuowm,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-333-8,Quick Notes: Shakespeare's Historical Plays,Songlian Wu,,2020,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-334-5,Keyboard Warriors,Alma Robinson Gomez,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-335-2,Going Rogue,Bertram Stamps,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-336-9,The Colonel's Husband,Clara Maria Hernandez,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-337-6,Contemptuous Words,Dorabella Morgan,,2020,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-338-3,Mishap,Elizabeth Mary Corning,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-339-0,Ghosts of Christmas Present,Franco Parlangeli,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-340-6,Once More Unto the Breech,Gloria Robinson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-341-3,Star Trek: Return of the Shapeshifters,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-342-0,Life or Death,Hanna Kingfisher Jones,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-343-7,Cabin Pressure,Ilana Plana,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-344-4,Boomerang,Jupiter Jones,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-345-1,The Bridges of Monroe County,Kemi Obunde,,2020,Fiction,Romance,,Paperback,$18.99
978-555-0-32177-346-8,Half Empty Promises,Larry Eagleby,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-347-5,Drop Zone,Mary Elizabeth Sims,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-348-2,Overdue and Presumed Lost,Norah Pass Jackson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-349-9,Surface Warfare,Olivia Bruner Stern,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-350-5,Star Trek: Obsidian Order: Checking In,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-351-2,Legacy,Paloma Jackson Gomez,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-352-9,Florida Straits,Queridita Washington,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-353-6,Flight Risk,Roman Oliver,,2020,Fiction,Thriller,,Paperback,$18.99
978-555-0-32177-354-3,The Queen and the Pawn,Samuel Potts Berkley,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-355-0,A Separate Peace,Tony Blacksmith,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-356-7,One Night in Paris,Uwe Moravec,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-357-4,Chopper's on the Way,Vina Leonards,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-358-1,In No Man's Land,Wilma Porter,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-359-8,The Ancestors,Xenia Johnson Jackson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-360-4,Quick Notes: Macbeth,Songlian Wu,,2020,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-361-1,Family Secrets,Yolanda Burridge Green,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-362-8,Touch and Go,Zlata Korona,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-363-5,Twenty Below Wind Chill,Pav Cnossen,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-364-2,Collision Course,Maame Turner Robinson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-365-9,Miracles,Liying Wing,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-366-6,Valor,Kofo Tumbe,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-367-3,Killer Instinct,Uwe Moravec,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-368-0,Star Trek: Gray Hat Hackers,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-369-7,Tex Mex on the Grill,Bobby Hill,,2020,Nonfiction,Cookbook,Barbecue,Paperback,$18.99
978-555-0-32177-370-3,Iron Coffin,Mark Petrel,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-371-0,"Retreat, Hell",Luisa Juanita Gomez,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-372-7,Separated by an Ocean,Marge Simpson,,2020,Fiction,Romance,Historical,Paperback,$18.99
978-555-0-32177-373-4,Liberty,Emily Everpuff,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-374-1,Salvation,Olivia Oliver,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-375-8,To Walk on Wings,Yesenia Young,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-376-5,Quick Notes: Hamlet,Songlian Wu,,2020,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-377-2,Past Tense,Ionia Bloodworth,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-378-9,Lifeline,Nona Shapovalova,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-379-6,Murder in the Fifth Degree,Sharona Fleming,,2020,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-380-2,Mutiny,Amelia Teegerb,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-381-9,Mobsters in Gotham's Political Life,Brenda Starr,,2020,Nonfiction,Politics,Investigative reporting,Paperback,$18.99
978-555-0-32177-382-6,Adrift,Carla Moulton,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-383-3,Guns for Hire,Kevin Riverton,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-384-0,New Kid on the Block,Uniona Washington,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-385-7,The Measure of a Man,Vernee Jefferson,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-386-4,Guilt,Walter Miller,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-387-1,Star Trek: Starfleet Academy: Blue Squad,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-388-8,Mixed Messages,Uniona Washington,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-389-5,Redemption,Eugenio Sombras,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-390-1,Ambush,Paula Straiton,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-391-8,On the Way to the Marathon,Zima al Hambra,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-392-5,The Dog Robber,Amelia Teegerb,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-393-2,Answered Prayers,Kevin Riverton,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-394-9,Capital Crime,Uniona Washington,,2020,Fiction,Mystery,Police procedural,Paperback,$18.99
978-555-0-32177-395-6,Star Trek: Starfleet Academy: Portents of War,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-396-3,Code of Conduct,Paula Straiton,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-397-0,The Mission,Zima al Hambra,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-398-7,Odd Woman Out,Julia Tao,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-399-4,Quick Notes: Animal Farm,Songlian Wu,,2020,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-400-7,Head to Toe,Uwe Schmidt,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-401-4,Exculpatory Evidence,Bianka Wolpowna,,2020,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-402-1,Hero Worship,Waltera McThompsongilly,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-403-8,First Casualty,Selma Severinsen,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-404-5,File Not Found: A Novel,Julietta Kolmogorovna,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-405-2,Luna Pier,Lovepreet Kaur,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-406-9,Port Chicago,Xanthos Phillips,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-407-6,Tribunal,Henry Okungbanwe,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-408-3,A Judge on Trial,Robbie Plank,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-409-0,In Country,Alma Robinson Gomez,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-410-6,The Promised Land,Kemi Obunde,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-411-3,Enemy Below,Uwe Moravec,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-412-0,Lessons Learned from Playing Chess in Prison,Patrick Kloster,,2020,Nonfiction,Games,Chess,Paperback,$18.99
978-555-0-32177-413-7,Star Trek: In Khan's Shadow,William Gold,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-414-4,Critical Condition,Vina Leonards,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-415-1,Nothing But Net,Alice Pieszecki,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-416-8,The Family Business,Mohammad bin Kadar,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-417-5,Playing a Dangerous Game,Quincy Washington,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-418-2,Into Thin Air,Clara Thomas,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-419-9,Offensive Action,Trudy Zhang,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-420-5,Cultivating Weed with Hydroponics,Robert Robertson,,2020,Nonfiction,Gardening,,Paperback,$18.99
978-555-0-32177-421-2,Star Trek: Climate Change and the Prime Directive,Jesús María Peña,,2020,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-422-9,On the Honor System,Zainab Hsien,,2020,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
